canonical_event_id,section_id,year,station,group_code,sex,level,tournament_id,source_url,rounds,promotion_rate,evidence_status,notes
chess-association-master-2022-679eb1ba7d,chess-association-master-2022-679eb1ba7d-men-candidate,2022,湖南站,MEN_CANDIDATE,M,CANDIDATE,646676,https://chess-results.com/tnr646676.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2022-679eb1ba7d,chess-association-master-2022-679eb1ba7d-men-level-1,2022,湖南站,MEN_LEVEL_1,M,LEVEL_1,646679,https://chess-results.com/tnr646679.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2022-679eb1ba7d,chess-association-master-2022-679eb1ba7d-women-candidate,2022,湖南站,WOMEN_CANDIDATE,F,CANDIDATE,646711,https://chess-results.com/tnr646711.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2022-679eb1ba7d,chess-association-master-2022-679eb1ba7d-women-level-1,2022,湖南站,WOMEN_LEVEL_1,F,LEVEL_1,646678,https://chess-results.com/tnr646678.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2022-b90968f873,chess-association-master-2022-b90968f873-men-level-1,2022,杭州赛区,MEN_LEVEL_1,M,LEVEL_1,664058,https://chess-results.com/tnr664058.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-16f0282068,chess-association-master-2023-16f0282068-men-candidate,2023,重庆站,MEN_CANDIDATE,M,CANDIDATE,807707,https://chess-results.com/tnr807707.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-16f0282068,chess-association-master-2023-16f0282068-men-level-1,2023,重庆站,MEN_LEVEL_1,M,LEVEL_1,807708,https://chess-results.com/tnr807708.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-16f0282068,chess-association-master-2023-16f0282068-open,2023,重庆站,OPEN,,OPEN,807705,https://chess-results.com/tnr807705.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-16f0282068,chess-association-master-2023-16f0282068-women-candidate,2023,重庆站,WOMEN_CANDIDATE,F,CANDIDATE,807709,https://chess-results.com/tnr807709.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-16f0282068,chess-association-master-2023-16f0282068-women-level-1,2023,重庆站,WOMEN_LEVEL_1,F,LEVEL_1,807710,https://chess-results.com/tnr807710.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-1ea3816f13,chess-association-master-2023-1ea3816f13-men-candidate,2023,成都站,MEN_CANDIDATE,M,CANDIDATE,824333,https://chess-results.com/tnr824333.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-1ea3816f13,chess-association-master-2023-1ea3816f13-men-level-1,2023,成都站,MEN_LEVEL_1,M,LEVEL_1,824334,https://chess-results.com/tnr824334.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-1ea3816f13,chess-association-master-2023-1ea3816f13-open,2023,成都站,OPEN,,OPEN,824338,https://chess-results.com/tnr824338.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-1ea3816f13,chess-association-master-2023-1ea3816f13-women-candidate,2023,成都站,WOMEN_CANDIDATE,F,CANDIDATE,824335,https://chess-results.com/tnr824335.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-1ea3816f13,chess-association-master-2023-1ea3816f13-women-level-1,2023,成都站,WOMEN_LEVEL_1,F,LEVEL_1,824337,https://chess-results.com/tnr824337.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-319e4e0893,chess-association-master-2023-319e4e0893-men-candidate,2023,杭州站,MEN_CANDIDATE,M,CANDIDATE,790110,https://chess-results.com/tnr790110.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-319e4e0893,chess-association-master-2023-319e4e0893-men-level-1,2023,杭州站,MEN_LEVEL_1,M,LEVEL_1,790111,https://chess-results.com/tnr790111.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-319e4e0893,chess-association-master-2023-319e4e0893-open,2023,杭州站,OPEN,,OPEN,790107,https://chess-results.com/tnr790107.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-319e4e0893,chess-association-master-2023-319e4e0893-women-candidate,2023,杭州站,WOMEN_CANDIDATE,F,CANDIDATE,790112,https://chess-results.com/tnr790112.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-319e4e0893,chess-association-master-2023-319e4e0893-women-level-1,2023,杭州站,WOMEN_LEVEL_1,F,LEVEL_1,790113,https://chess-results.com/tnr790113.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-55b8492b21,chess-association-master-2023-55b8492b21-men-candidate,2023,儋州站,MEN_CANDIDATE,M,CANDIDATE,792363,https://chess-results.com/tnr792363.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-55b8492b21,chess-association-master-2023-55b8492b21-men-level-1,2023,儋州站,MEN_LEVEL_1,M,LEVEL_1,792365,https://chess-results.com/tnr792365.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-55b8492b21,chess-association-master-2023-55b8492b21-women-candidate,2023,儋州站,WOMEN_CANDIDATE,F,CANDIDATE,792366,https://chess-results.com/tnr792366.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-55b8492b21,chess-association-master-2023-55b8492b21-women-level-1,2023,儋州站,WOMEN_LEVEL_1,F,LEVEL_1,792367,https://chess-results.com/tnr792367.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-66b066fa1e,chess-association-master-2023-66b066fa1e-men-candidate,2023,上海站,MEN_CANDIDATE,M,CANDIDATE,783021,https://chess-results.com/tnr783021.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-66b066fa1e,chess-association-master-2023-66b066fa1e-men-level-1,2023,上海站,MEN_LEVEL_1,M,LEVEL_1,783023,https://chess-results.com/tnr783023.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-66b066fa1e,chess-association-master-2023-66b066fa1e-open,2023,上海站,OPEN,,OPEN,783017,https://chess-results.com/tnr783017.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-66b066fa1e,chess-association-master-2023-66b066fa1e-women-candidate,2023,上海站,WOMEN_CANDIDATE,F,CANDIDATE,783025,https://chess-results.com/tnr783025.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-66b066fa1e,chess-association-master-2023-66b066fa1e-women-level-1,2023,上海站,WOMEN_LEVEL_1,F,LEVEL_1,783028,https://chess-results.com/tnr783028.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：女子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-6a356b2c0f,chess-association-master-2023-6a356b2c0f-men-candidate,2023,绍兴站,MEN_CANDIDATE,M,CANDIDATE,810576,https://chess-results.com/tnr810576.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子候补棋协大师组；轮次 9 为规则默认值，抓取后以页面为准
chess-association-master-2023-6a356b2c0f,chess-association-master-2023-6a356b2c0f-men-level-1,2023,绍兴站,MEN_LEVEL_1,M,LEVEL_1,810575,https://chess-results.com/tnr810575.aspx?lan=1,9,0.65,source-list-needs-page-verify,资料清单组别：男子一级棋士组；轮次 9 为规则默认值，抓取后以页面为准
