fide_id,chinese_name,pinyin_name,latin_name,name_variants,evidence_tnrid,source,source_url,notes
1631390,"陈苗苗,",,,"陈苗苗,|2013年全国国际象棋锦标赛（个人乙组）女子组",108726,chess-results-spielersuche,https://s3.chess-results.com/tnr108726.aspx?lan=1&art=9&snr=57,SpielerSuche FIDE 1631390 tnr108726 CJK name column
1631454,"李申玥,",,,"李申玥,|2025年中国国际象棋乙级联赛",1229905,chess-results-spielersuche,https://s3.chess-results.com/tnr1229905.aspx?lan=1&art=9&snr=18,SpielerSuche FIDE 1631454 tnr1229905 CJK name column
260290,朱子墨,,,"朱子墨,|2025年全国国际象棋青少年锦标赛（个人）暨第30届“李成智",1111363,chess-results-spielersuche,https://s3.chess-results.com/tnr1111363.aspx?lan=1&art=9&snr=51,SpielerSuche FIDE 260290 tnr1111363 CJK name column
3238024,林舒涵,,,"林舒涵,|2024年全国国际象棋锦标赛（个人乙组）男子组",927196,chess-results-spielersuche,https://s3.chess-results.com/tnr927196.aspx?lan=1&art=9&snr=98,SpielerSuche FIDE 3238024 tnr927196 CJK name column
3244571,"张城瀚,",,,"张城瀚,|2023年全国国际象棋青少年锦标赛(个人)暨第28届“李成智",798390,chess-results-spielersuche,https://s3.chess-results.com/tnr798390.aspx?lan=1&art=9&snr=35,SpielerSuche FIDE 3244571 tnr798390 CJK name column
3403955,"王帅,",,,"王帅,|2013年中国国际象棋甲级联赛",99760,chess-results-spielersuche,https://s3.chess-results.com/tnr99760.aspx?lan=1&art=9&snr=55,SpielerSuche FIDE 3403955 tnr99760 CJK name column
3403963,"俞婷,",,,"俞婷,|""超玥杯""2021年中国国际象棋甲级联赛",596943,chess-results-spielersuche,https://s3.chess-results.com/tnr596943.aspx?lan=1&art=9&snr=34,SpielerSuche FIDE 3403963 tnr596943 CJK name column
6015476,朱宥辰,,"Zhu, Youchen",2026年全国国际象棋青少年锦标赛（个人）暨第31届“李成智,1335515,chess-results-spielersuche,https://s3.chess-results.com/tnr1335515.aspx?lan=1&art=9&snr=39,SpielerSuche FIDE 6015476 tnr1335515 CJK name column
8600015,"叶荣光,",,,"叶荣光,|2014年全国国际象棋联赛(乙级团体)",142183,chess-results-spielersuche,https://s3.chess-results.com/tnr142183.aspx?lan=1&art=9&snr=42,SpielerSuche FIDE 8600015 tnr142183 CJK name column
8600023,"汪自力,",,,"汪自力,|“机器人谷杯”第一届中国城市国际象棋联赛复活赛",542472,chess-results-spielersuche,https://s3.chess-results.com/tnr542472.aspx?lan=1&art=9&snr=76,SpielerSuche FIDE 8600023 tnr542472 CJK name column
