fide_id,list_month,standard,rapid,blitz,inactive
260290,2026-07,1676,1673,1627,1
1631454,2026-07,2003,1981,1980,
1631608,2026-07,2073,,,1
3238024,2026-07,1818,1821,,1
3244571,2026-07,1848,,1890,
3403955,2026-07,2442,,,1
3403963,2026-07,2170,,2144,
5800781,2026-07,2052,,2022,
6015476,2026-07,1578,1696,1562,
8600015,2026-07,2461,2397,2361,1
8600023,2026-07,2488,,,1
8600031,2026-07,2439,2511,,
8600040,2026-07,2585,,,1
8600058,2026-07,2341,,,
8600066,2026-07,2451,2476,,1
8600074,2026-07,2372,,,1
8600082,2026-07,2435,,,1
8600090,2026-07,2378,,,1
8600139,2026-07,2480,,,1
8600147,2026-07,2574,,,
8600155,2026-07,2410,,,1
8600163,2026-07,2394,,,1
8600171,2026-07,2174,2075,2084,
8600180,2026-07,2287,,,1
8600198,2026-07,2361,,,1
8600201,2026-07,2330,2338,2281,
8600210,2026-07,2330,,,1
8600228,2026-07,2300,,,1
8600236,2026-07,2285,,,1
8600244,2026-07,2248,,,1
8600252,2026-07,2271,,,1
8600260,2026-07,2386,,,1
8600279,2026-07,2109,2027,,
8600287,2026-07,2238,,,
8600295,2026-07,2250,,,1
8600309,2026-07,2157,,,1
8600317,2026-07,2285,,,1
8600333,2026-07,2292,,,1
8600341,2026-07,2197,,,1
8600350,2026-07,2466,,,
8600368,2026-07,2210,,,1
8600376,2026-07,2248,,,
8600384,2026-07,2243,,,1
8600392,2026-07,2175,,,
8600406,2026-07,2378,2390,,
8600414,2026-07,2164,,,
8600422,2026-07,2188,,,
8600430,2026-07,2484,,,
8600449,2026-07,2093,,,
8600457,2026-07,2077,,,
8600465,2026-07,2047,,,
8600473,2026-07,2093,,,
8600481,2026-07,2055,,,
8600490,2026-07,2429,,,1
8600511,2026-07,2591,,,1
8600520,2026-07,2273,,,
8600538,2026-07,2122,,,
8600554,2026-07,2063,,,
8600562,2026-07,2200,,2186,
8600570,2026-07,2205,,,
8600589,2026-07,2076,,,1
8600600,2026-07,2185,,,1
8600619,2026-07,2381,,,1
8600627,2026-07,2359,,,1
8600635,2026-07,2465,,,
8600643,2026-07,2289,2328,2263,
8600651,2026-07,1904,,,1
8600660,2026-07,2476,,2502,1
8600678,2026-07,2390,2538,2517,
8600686,2026-07,2316,,,1
8600694,2026-07,2561,2469,2478,1
8600708,2026-07,2340,,,1
8600716,2026-07,2338,,,1
8600724,2026-07,2102,,,
8600732,2026-07,2078,,,
8600740,2026-07,2191,,,
8600759,2026-07,2204,,,
8600767,2026-07,2373,,2288,1
8600775,2026-07,2319,,,1
8600783,2026-07,2583,,,1
8600791,2026-07,1983,,,
8600805,2026-07,2145,,,
8600813,2026-07,2161,,,
8600821,2026-07,2126,,,
8600830,2026-07,2188,,,
8600848,2026-07,2138,,,
8600856,2026-07,2051,,,1
8600864,2026-07,2414,,,1
8600872,2026-07,2296,,,1
8600880,2026-07,2091,,,
8600899,2026-07,2489,,,1
8600902,2026-07,2158,,,1
8600910,2026-07,2148,,,1
8600929,2026-07,2054,,,1
8600937,2026-07,2245,,,1
8600945,2026-07,2159,,,
8600953,2026-07,2324,2338,,
8600961,2026-07,2306,,,1
8600970,2026-07,2557,2504,2566,
8600988,2026-07,2152,2239,2202,
8600996,2026-07,2200,,,
8601003,2026-07,2382,2426,2339,1
8601020,2026-07,2486,2441,2470,1
8601038,2026-07,2244,,,1
8601062,2026-07,2220,,,1
8601070,2026-07,2383,,,1
8601089,2026-07,2282,2266,2281,
8601097,2026-07,2163,2183,2223,
8601119,2026-07,2097,,,
8601127,2026-07,2275,,,1
8601135,2026-07,2206,,,
8601143,2026-07,2407,2333,2307,1
8601151,2026-07,2300,,,1
8601160,2026-07,2649,2619,2579,1
8601194,2026-07,2177,,,1
8601208,2026-07,2372,,,1
8601216,2026-07,1930,,,1
8601224,2026-07,2409,,,1
8601240,2026-07,2252,,,
8601267,2026-07,2174,,,
8601283,2026-07,2433,2411,2383,
8601291,2026-07,2213,,,
8601305,2026-07,2175,,,
8601313,2026-07,2311,,,1
8601321,2026-07,2251,,,1
8601348,2026-07,2254,,,1
8601356,2026-07,2287,,,1
8601364,2026-07,2212,,,1
8601372,2026-07,2034,,,1
8601380,2026-07,2132,,,1
8601402,2026-07,2174,,,1
8601410,2026-07,1873,,,1
8601429,2026-07,2623,2615,2641,
8601445,2026-07,2661,2583,2719,
8601453,2026-07,2307,,2222,1
8601461,2026-07,2286,,,1
8601470,2026-07,2155,,,1
8601488,2026-07,1979,2325,,1
8601496,2026-07,2297,,,1
8601500,2026-07,2241,,,1
8601518,2026-07,2162,,,
8601526,2026-07,2026,,,
8601534,2026-07,2079,,,
8601542,2026-07,2122,2074,,
8601550,2026-07,2280,,,1
8601569,2026-07,2308,,,1
8601577,2026-07,2300,,,1
8601585,2026-07,2241,,,
8601593,2026-07,2233,,,1
8601607,2026-07,2142,,,1
8601615,2026-07,2124,,,
8601623,2026-07,2174,,,
8601631,2026-07,2142,,,1
8601658,2026-07,2265,,,
8601666,2026-07,2304,,,1
8601674,2026-07,2600,2607,2590,1
8601682,2026-07,2414,,,1
8601690,2026-07,2107,,,1
8601704,2026-07,2252,,,
8601712,2026-07,2132,,,
8601720,2026-07,2117,,,
8601739,2026-07,2106,,,
8601747,2026-07,2310,,,
8601755,2026-07,2317,,,1
8601763,2026-07,1951,,,
8601771,2026-07,2082,,,1
8601780,2026-07,2066,,,
8601798,2026-07,2095,,,1
8601801,2026-07,2158,,,
8601810,2026-07,2110,,,1
8601828,2026-07,2228,,,1
8601836,2026-07,2155,,,1
8601852,2026-07,2216,,,1
8601860,2026-07,2073,,,1
8601879,2026-07,2327,,,1
8601887,2026-07,2360,,,1
8601895,2026-07,2298,,,1
8601909,2026-07,2258,,,1
8601917,2026-07,2299,,,1
8601925,2026-07,2217,,,
8601933,2026-07,2231,,,1
8601941,2026-07,2240,,,1
8601950,2026-07,2233,,,1
8601968,2026-07,2320,,,1
8601976,2026-07,2269,,,1
8601984,2026-07,2240,,,
8601992,2026-07,2288,,,1
8602000,2026-07,2284,,,1
8602018,2026-07,2193,,,1
8602026,2026-07,2253,,,1
8602034,2026-07,2157,,,
8602042,2026-07,2183,,,1
8602050,2026-07,2244,,,1
8602069,2026-07,2210,,,
8602077,2026-07,2287,,,1
8602085,2026-07,2264,,,1
8602093,2026-07,2223,,,
8602107,2026-07,2315,,,1
8602115,2026-07,2324,,,1
8602123,2026-07,2284,,,1
8602131,2026-07,2209,,,
8602140,2026-07,2326,,,
8602158,2026-07,2237,,,
8602166,2026-07,2207,,,1
8602174,2026-07,2309,,,1
8602182,2026-07,2240,,2311,
8602190,2026-07,2263,,,1
8602204,2026-07,2286,,,1
8602212,2026-07,2318,,,1
8602220,2026-07,2265,,,1
8602239,2026-07,2191,,,1
8602247,2026-07,2424,,,1
8602255,2026-07,2155,,,1
8602263,2026-07,2067,,,1
8602271,2026-07,2309,,,1
8602280,2026-07,2600,2562,2546,
8602298,2026-07,2466,2458,2493,
8602301,2026-07,2309,,,1
8602310,2026-07,2237,,,
8602336,2026-07,2152,,,1
8602360,2026-07,2150,,2113,1
8602387,2026-07,2534,2462,2471,1
8602395,2026-07,2289,,,1
8602409,2026-07,2145,2152,2117,
8602417,2026-07,2096,2131,1997,
8602433,2026-07,2170,,,1
8602441,2026-07,2249,,,1
8602450,2026-07,2315,,,1
8602476,2026-07,2219,,,1
8602484,2026-07,2350,,,1
8602492,2026-07,2041,,,1
8602506,2026-07,2323,,,1
8602514,2026-07,2289,,,1
8602522,2026-07,2538,2593,2558,
8602549,2026-07,2147,,,1
8602557,2026-07,2208,,2213,1
8602565,2026-07,2101,,,1
8602573,2026-07,1594,,,
8602590,2026-07,1978,,,1
8602603,2026-07,2244,,,1
8602611,2026-07,2106,2133,2091,
8602620,2026-07,2296,,,1
8602638,2026-07,2238,,,1
8602646,2026-07,2188,,,1
8602654,2026-07,2238,,,1
8602662,2026-07,2077,,,1
8602670,2026-07,2259,,,1
8602689,2026-07,2366,2394,2316,
8602719,2026-07,2079,,,
8602727,2026-07,2491,,,
8602735,2026-07,2276,,,1
8602751,2026-07,2208,,,1
8602760,2026-07,2262,,,1
8602778,2026-07,2405,,2314,1
8602786,2026-07,2229,2194,2235,
8602794,2026-07,2164,,,
8602808,2026-07,2268,,,1
8602816,2026-07,2261,,,
8602824,2026-07,2231,,,
8602832,2026-07,2217,,,
8602859,2026-07,2170,,,1
8602875,2026-07,2220,,,1
8602883,2026-07,2684,2649,2634,
8602905,2026-07,2149,2144,2114,
8602921,2026-07,2207,,,1
8602930,2026-07,2140,,,1
8602948,2026-07,2413,2313,2357,1
8602956,2026-07,2575,2524,2596,
8602972,2026-07,2395,2316,2322,
8602980,2026-07,2596,2529,2521,
8602999,2026-07,2332,2375,,
8603006,2026-07,2560,2488,2445,
8603022,2026-07,2098,,,1
8603030,2026-07,2308,2306,2287,1
8603057,2026-07,2114,,,1
8603065,2026-07,1557,,,
