player_no	title	name	fide_id	rating	federation	chinese_name	club
1	GM	Bai, Jinshi	8602280	2600	CHN	白金石	Hangzhou Bank Team
2		Bai, Xue	8608717	2177	CHN	白雪	Zhejiang Shaoxing Yuecheng Team
3	GM	Bu, Xiangzhi	8601445	2661	CHN	卜祥志	Chongqing Sports Lottery Team
4	IM	Cao, Qingfeng	8627568	2365	CHN	曹庆锋	Chongqing Jiulongpo Team
5	IM	Chen, Hongsen	8625450	2309	CHN	陈宏森	Jiangsu Team
6		Chen, Lvheng	8627967	2114	CHN	陈律衡	Jiangxi Chess Association Team
7	IM	Chen, Qi B	8614733	2466	CHN	陈琪	Jiangsu Team
8	FM	Chen, Yining	8620946	2298	CHN	陈一宁	Hangzhou Zhiyun School Team
9		Chen, Yuan	8618860	2357	CHN	陈远	Zhejiang Shaoxing Yuecheng Team
10		Chen, Zhi	8619549	2199	CHN	陈致	Zhejiang Shaoxing Yuecheng Team
11		Cheng, Gongpu	8643482	2119	CHN	程功仆	Hangzhou Zhiyun School Team
12	IM	Chu, Weichao	8605661	2390	CHN	褚伟超	Tianjin Team
13	GM	Dai, Changren	8608156	2539	CHN	戴常人	Tianjin Team
14	GM	Ding, Liren	8603677	2738	CHN	丁立人	Hangzhou Bank Team
15	WGM	Ding, Yixin	8602972	2395	CHN	丁亦昕	Zhejiang Shaoxing Yuecheng Team
16		Dong, Hongfu	8626960	2353	CHN	董泓甫	Chongqing Jiulongpo Team
17	WIM	Gao, Muziyan	8635889	2271	CHN	高木子嫣	Jiangsu Team
18	IM	Gong, Sunle	8620229	2422	CHN	龚孙乐	China Mobile Shanghai Team
19		Gu, Xianghan	8622680	2146	CHN	顾祥瀚	Chongqing Sports Lottery Team
20	IM	Guo, Qi	8604002	2375	CHN	郭琦	Jiangsu Team
21		Guo, Weibao	8608440	1874	CHN	郭玮宝	Beijing Team
22		He, Yi	8640190	1690	CHN	何奕	Hangzhou Zhiyun School Team
23		Hong, Mingren	8641560	2352	CHN	洪铭仁	Hangzhou Zhiyun School Team
