fide_id,chinese_name,pinyin_name,aliases,source,confidence,notes
8602883,王皓,wang hao,"王皓|wanghao|Wang Hao|Wang, Hao",seed,reviewed,
8601429,王玥,wang yue,"王玥|wangyue|Wang Yue|Wang, Yue",seed,reviewed,
8603006,丁立人,ding liren,"丁立人|dingliren|Ding Liren|Ding, Liren",seed,reviewed,
8603677,韦奕,wei yi,"韦奕|weiyi|Wei Yi|Wei, Yi",seed,reviewed,
8603405,余泱漪,yu yangyi,"余泱漪|yuyangyi|Yu Yangyi|Yu, Yangyi",seed,reviewed,
8603820,侯逸凡,hou yifan,"侯逸凡|houyifan|Hou Yifan|Hou, Yifan",seed,reviewed,
8602980,居文君,ju wenjun,"居文君|juwenjun|Ju Wenjun|Ju, Wenjun",seed,reviewed,
8603642,雷挺婕,lei tingjie,"雷挺婕|leitingjie|Lei Tingjie|Lei, Tingjie",seed,reviewed,
8601283,赵雪,zhao xue,"赵雪|zhaoxue|Zhao Xue|Zhao, Xue",seed,reviewed,
8600538,叶江川,ye jiangchuan,"叶江川|yejiangchuan|Ye Jiangchuan|Ye, Jiangchuan",seed,reviewed,
8600724,谢军,xie jun,"谢军|xiejun|Xie Jun|Xie, Jun",seed,reviewed,
8600546,许昱华,xu yuhua,"许昱华|xuyuhua|Xu Yuhua|Xu, Yuhua",seed,reviewed,
8600147,诸宸,zhu chen,"诸宸|zhuchen|Zhu Chen|Zhu, Chen",seed,reviewed,
8601950,卜祥志,bu xiangzhi,"卜祥志|buxiangzhi|Bu Xiangzhi|Bu, Xiangzhi",seed,reviewed,
8603332,卢尚磊,lu shanglei,"卢尚磊|lushanglei|Lu Shanglei|Lu, Shanglei",seed,reviewed,
8608288,徐翔宇,xu xiangyu,"徐翔宇|xuxiangyu|Xu Xiangyu|Xu, Xiangyu",seed,reviewed,
8604940,徐英伦,xu yinglun,"徐英伦|xuyinglun|Xu Yinglun|Xu, Yinglun",seed,reviewed,
8602522,赵骏,zhao jun,"赵骏|zhaojun|Zhao Jun|Zhao, Jun",seed,reviewed,
8603847,曾重生,zeng chongsheng,"曾重生|zengchongsheng|Zeng Chongsheng|Zeng, Chongsheng",seed,reviewed,
8603162,倪华,ni hua,"倪华|nihua|Ni Hua|Ni, Hua",seed,reviewed,
8618020,鹿妙夷,lu miaoyi,"鹿妙夷|lumiaoyi|Lu Miaoyi|Miaoyi Lu|Lu, Miaoyi",seed,reviewed,
8632200,孔祥睿,kong xiangrui,"孔祥睿|kongxiangrui|Kong Xiangrui|Xiangrui Kong|Kong, Xiangrui",seed,reviewed,
8620946,陈一宁,chen yining,"陈一宁|chenyining|Chen Yining|Yining Chen|Chen, Yining",seed,reviewed,
8627215,姜天瑜,jiang tianyu,"姜天瑜|jiangtianyu|Jiang Tianyu|Tianyu Jiang|Jiang, Tianyu",seed,reviewed,
8657238,,yan xuan,"yanxuan|Yan Xuan|Xuan Yan|Yan, Xuan",seed,reviewed,
